prompt,regime,layer,head,T,entropy,gini,value_spectral,margin_top16,mass_top16,oracle_rl2_s16,jl_rl2_s16,quant4_rl2
short_qa,short,6,9,44,0.8878136973001121,0.9481982805182774,0.12023948633577525,0.058313912564258885,0.9977351924156521,0.003957141086512847,0.018493991637210234,0.27098515735425627
short_qa,short,6,10,44,1.9940211074016319,0.8641170019228311,0.12023948633577525,0.013582364199518082,0.9793842048566856,0.018921685531282328,0.7165636899571448,0.164481720233906
short_qa,short,6,11,44,1.9729472657150806,0.8716576564793964,0.12023948633577525,0.2066031527679204,0.9818749917245123,0.03139510680596171,0.10563236889824923,0.1720286554926556
short_qa,short,6,12,44,1.8227189331455218,0.8816447180548053,0.12023948633577525,0.2680097984748149,0.9846402588912919,0.014006897284752112,0.2716073327112101,0.16796904483680258
short_qa,short,6,13,44,1.5701640349044792,0.8778377324988782,0.12023948633577525,0.067168256021362,0.9651458742006438,0.033208994138203544,0.1030498625693939,0.17858174515555722
short_qa,short,7,0,44,0.858646995794535,0.9472078878871738,0.22031631481087757,0.016140488612783166,0.9971334324596797,0.008147998999436856,0.4190508879053799,0.3298126003732481
short_qa,short,7,1,44,1.9219676486688135,0.8581339842825092,0.22031631481087757,0.13327432056507504,0.966630981272539,0.05882740628547487,1.105692054965132,0.3185034199796665
short_qa,short,7,2,44,1.9671595217118956,0.8612337660472508,0.22031631481087757,0.4383911635320539,0.9760774808653174,0.038611550005745995,1.0528424762153168,0.38664604593042673
short_qa,short,7,3,44,1.2690420147417125,0.9317868115824908,0.22031631481087757,0.05079107355210333,0.9959115035270238,0.00758033633775989,1.0811900467084286,0.5047209036491098
short_qa,short,7,4,44,0.9408386775139573,0.9500768805161964,0.22031631481087757,0.16991333855658475,0.9962661690843616,0.004042599312188305,0.8084287411864973,0.277261090501667
short_qa,short,7,5,44,1.9414934347344106,0.8595698583303532,0.22031631481087757,0.13799753279174176,0.9696518631812602,0.047598046935766726,1.2169521362497113,0.5046019233949194
short_qa,short,7,6,44,0.857921498102425,0.9459688224648292,0.22031631481087757,0.1171234041154543,0.9943874346730441,0.005100442139126697,0.1161149185052409,0.10056968025595533
short_qa,short,7,7,44,1.571458554935105,0.9154376295646071,0.15830921998670427,0.25230840538098054,0.995183876060238,0.007273460800580952,0.3482485897344193,1.1363319650163846
